id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_mangga,satuan,tahun
158,32,JAWA BARAT,3275,KOTA BEKASI,8198,KUINTAL,2018
159,32,JAWA BARAT,3276,KOTA DEPOK,3002,KUINTAL,2018
160,32,JAWA BARAT,3277,KOTA CIMAHI,105,KUINTAL,2018
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4478,KUINTAL,2018
162,32,JAWA BARAT,3279,KOTA BANJAR,5237,KUINTAL,2018
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,51613,KUINTAL,2019
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,95076,KUINTAL,2019
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,224479,KUINTAL,2019
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,122602,KUINTAL,2019
167,32,JAWA BARAT,3205,KABUPATEN GARUT,171160,KUINTAL,2019
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,55071,KUINTAL,2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,98778,KUINTAL,2019
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,302941,KUINTAL,2019
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,467971,KUINTAL,2019
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,548872,KUINTAL,2019
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,755536,KUINTAL,2019
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,753425,KUINTAL,2019
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,203427,KUINTAL,2019
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,39458,KUINTAL,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,122928,KUINTAL,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,64716,KUINTAL,2019
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,25536,KUINTAL,2019
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12291,KUINTAL,2019
181,32,JAWA BARAT,3271,KOTA BOGOR,10902,KUINTAL,2019
182,32,JAWA BARAT,3272,KOTA SUKABUMI,41,KUINTAL,2019
183,32,JAWA BARAT,3273,KOTA BANDUNG,1120,KUINTAL,2019
184,32,JAWA BARAT,3274,KOTA CIREBON,16706,KUINTAL,2019
185,32,JAWA BARAT,3275,KOTA BEKASI,11112,KUINTAL,2019
186,32,JAWA BARAT,3276,KOTA DEPOK,2219,KUINTAL,2019
187,32,JAWA BARAT,3277,KOTA CIMAHI,49,KUINTAL,2019
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13006,KUINTAL,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,14182,KUINTAL,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,43641,KUINTAL,2020
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,89755,KUINTAL,2020
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,149680,KUINTAL,2020
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,84429,KUINTAL,2020
194,32,JAWA BARAT,3205,KABUPATEN GARUT,93487,KUINTAL,2020
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,24454,KUINTAL,2020
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,34192,KUINTAL,2020
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,246464,KUINTAL,2020
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,536250,KUINTAL,2020
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,522106,KUINTAL,2020
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,656450,KUINTAL,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1265402,KUINTAL,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,329335,KUINTAL,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,33110,KUINTAL,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,124176,KUINTAL,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,81131,KUINTAL,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,21173,KUINTAL,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3996,KUINTAL,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,4772,KUINTAL,2020
209,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KUINTAL,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,330,KUINTAL,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,40640,KUINTAL,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,18853,KUINTAL,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,1558,KUINTAL,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,128,KUINTAL,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8117,KUINTAL,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,12240,KUINTAL,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,47471,KUINTAL,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,47138,KUINTAL,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,253601,KUINTAL,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,23817,KUINTAL,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,126179,KUINTAL,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,39024,KUINTAL,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,55395,KUINTAL,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,217734,KUINTAL,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,494262,KUINTAL,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,652889,KUINTAL,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,672531,KUINTAL,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,933979,KUINTAL,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,497296,KUINTAL,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,25846,KUINTAL,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,104921,KUINTAL,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,153691,KUINTAL,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,32693,KUINTAL,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,279,KUINTAL,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,3979,KUINTAL,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KUINTAL,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,50,KUINTAL,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,3783,KUINTAL,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,19498,KUINTAL,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,1661,KUINTAL,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,200,KUINTAL,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4932,KUINTAL,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,27878,KUINTAL,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,26693,KUINTAL,2022
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,19352,KUINTAL,2022
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,444851,KUINTAL,2022
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,88396,KUINTAL,2022
248,32,JAWA BARAT,3205,KABUPATEN GARUT,192273,KUINTAL,2022
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,31006,KUINTAL,2022
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,69239,KUINTAL,2022
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,238909,KUINTAL,2022
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,433515,KUINTAL,2022
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,284629,KUINTAL,2022
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,615143,KUINTAL,2022
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1556682,KUINTAL,2022
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,187639,KUINTAL,2022
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,27643,KUINTAL,2022
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,74780,KUINTAL,2022
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,114145,KUINTAL,2022
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,55169,KUINTAL,2022
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,78,KUINTAL,2022
262,32,JAWA BARAT,3271,KOTA BOGOR,1050,KUINTAL,2022
263,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KUINTAL,2022
264,32,JAWA BARAT,3273,KOTA BANDUNG,28,KUINTAL,2022
265,32,JAWA BARAT,3274,KOTA CIREBON,703,KUINTAL,2022
266,32,JAWA BARAT,3275,KOTA BEKASI,30560,KUINTAL,2022
267,32,JAWA BARAT,3276,KOTA DEPOK,1577,KUINTAL,2022
268,32,JAWA BARAT,3277,KOTA CIMAHI,112,KUINTAL,2022
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,918,KUINTAL,2022
270,32,JAWA BARAT,3279,KOTA BANJAR,16655,KUINTAL,2022
